,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
F1,S,0.7328,0.7057,0.7072,0.5133,0.6225,0.7023,0.7353,0.564,0.7105
Gmean,4,0.8059,0.785,0.7832,0.2417,0.6449,0.7811,0.8117,0.6249,0.7861
B_Acc,C,0.8069,0.7872,0.7959,0.5474,0.7095,0.7931,0.8195,0.7366,0.8012
Pre,S,0.6871,0.6625,0.5731,0.3471,0.4525,0.5758,0.6155,0.4589,0.5691
Rec,V,0.79,0.76,0.93,0.99,1,0.91,0.92,0.74,0.95
Spe, ,0.8238,0.8143,0.6619,0.1048,0.4191,0.6762,0.719,0.7333,0.6524
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.6281,0.6375,0.5344,0.35,0.4188,0.5344,0.5187,0.4687,0.5313
F1,S,0.3556,0.3997,0.4801,0.5073,0.5213,0.5044,0.49,0.4607,0.5158
Gmean,5,0.4746,0.5106,0.5455,0.0682,0.3629,0.5587,0.5435,0.4068,0.5606
B_Acc,C,0.5483,0.566,0.5643,0.5116,0.5498,0.5756,0.5616,0.5292,0.5855
Pre,S,0.5344,0.5147,0.3837,0.3399,0.3605,0.3953,0.3802,0.3503,0.3938
Rec,V,0.3087,0.3537,0.6545,1,0.9446,0.7013,0.6918,0.7108,0.7489
Spe, ,0.7879,0.7784,0.474,0.02326,0.155,0.4498,0.4313,0.3476,0.4221
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.7889,0.8013,0.5293,0.2814,0.3425,0.5692,0.569,0.5259,0.5721
F1,S,0.3362,0.2585,0.2682,0.2553,0.24,0.2655,0.2766,0.2561,0.2834
Gmean,6,0.5841,0.4623,0.581,0.39,0.4533,0.5804,0.5951,0.5608,0.6043
B_Acc,C,0.6256,0.6004,0.5905,0.5676,0.5452,0.5918,0.6039,0.578,0.6137
Pre,S,0.2969,0.2189,0.1678,0.1477,0.1411,0.1694,0.176,0.161,0.1803
Rec,V,0.4055,0.3305,0.6722,0.9528,0.8167,0.6222,0.65,0.6472,0.6695
Spe, ,0.8456,0.8702,0.5088,0.1825,0.2737,0.5614,0.5579,0.5088,0.5579
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.5641,0.5793,0.5242,0.3752,0.4299,0.5396,0.5639,0.4814,0.4912
F1,S,0.3194,0.3851,0.412,0.4623,0.4201,0.4348,0.4064,0.3732,0.3592
Gmean,7,0.4666,0.52,0.5257,0.3158,0.4589,0.5441,0.5341,0.4739,0.4769
B_Acc,C,0.5005,0.5356,0.5282,0.5094,0.4951,0.5477,0.5414,0.4874,0.4824
Pre,S,0.3123,0.362,0.3343,0.3166,0.3075,0.355,0.3579,0.303,0.2974
Rec,V,0.3329,0.4205,0.5391,0.8633,0.6671,0.5686,0.481,0.5009,0.46
Spe, ,0.6682,0.6507,0.5174,0.1556,0.3231,0.5269,0.6017,0.4739,0.5047
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.8776,0.8895,0.7582,0.1821,0.5045,0.7433,0.7463,0.6358,0.7642
F1,S,0.5974,0.6596,0.55,0.2506,0.3746,0.5273,0.5325,0.4814,0.5556
Gmean,8,0.7695,0.8309,0.8255,0.08584,0.6302,0.8078,0.8173,0.6483,0.8298
B_Acc,C,0.793,0.8435,0.8337,0.4963,0.6936,0.8157,0.8267,0.7523,0.8372
Pre,S,0.5567,0.5909,0.3954,0.145,0.2358,0.3764,0.3774,0.341,0.4007
Rec,V,0.6733,0.7778,0.94,0.94,0.96,0.9178,0.94,0.9178,0.94
Spe, ,0.9126,0.9091,0.7273,0.05264,0.4271,0.7135,0.7134,0.5868,0.7345
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.7678,0.7707,0.6577,0.3179,0.4848,0.5949,0.6456,0.7053,0.6665
F1,S,0.431,0.4078,0.4861,0.401,0.4426,0.4626,0.4823,0.523,0.5166
Gmean,9,0.5704,0.5434,0.6587,0.1981,0.5459,0.6201,0.6535,0.6888,0.686
B_Acc,C,0.6371,0.6265,0.6624,0.524,0.6006,0.6252,0.6542,0.6933,0.6885
Pre,S,0.6123,0.5731,0.382,0.2576,0.3032,0.3515,0.3779,0.4333,0.3999
Rec,V,0.3802,0.3434,0.6713,0.9265,0.828,0.6846,0.6706,0.6699,0.7316
Spe, ,0.8941,0.9096,0.6534,0.1216,0.3732,0.5659,0.6378,0.7167,0.6455
,Dataset,MSE,BCE,WBCE,Any_Fbeta,WBCEFL,Any_Gmean,WBCEGL,Any_BAccu,WBCEBL
Acc,D,0.6734,0.6304,0.619,0.4872,0.5328,0.5989,0.6131,0.6274,0.6304
F1,S,0.5783,0.527,0.5618,0.57,0.5355,0.497,0.5328,0.5672,0.5631
Gmean,10,0.6534,0.6072,0.6195,0.4074,0.5458,0.5801,0.603,0.6296,0.6258
B_Acc,C,0.657,0.6138,0.6258,0.5673,0.5683,0.5847,0.6102,0.6314,0.6344
Pre,S,0.5679,0.5162,0.4952,0.4204,0.4279,0.4698,0.4822,0.5046,0.4986
Rec,V,0.59,0.545,0.657,0.8937,0.7174,0.5288,0.6031,0.6499,0.6561
Spe, ,0.724,0.6826,0.5946,0.2408,0.4192,0.6407,0.6173,0.613,0.6127
