,Dataset#,L,att_1,att_2,att_3,att_4
2,5,7,0.4992,0.5211,0.494,0.5215
3,5,10,0.5328,0.5375,0.5217,0.4868
4,5,13,0.4943,0.4982,0.4907,0.5119
5,5,16,0.5058,0.5196,0.5116,0.506
6,5,19,0.5166,0.4956,0.5098,0.4932
7,5,22,0.4849,0.5062,0.5011,0.5065
8,5,25,0.5272,0.5064,0.5157,0.5011
9,5,28,0.5011,0.5011,0.4912,0.5011
10,5,31,0.5011,0.5011,0.5011,0.5054
11,5,34,0.5143,0.5011,0.495,0.5011
12,5,37,0.4972,0.5011,0.5011,0.5011
13,5,40,0.5011,0.5011,0.4893,0.5023
14,5,43,0.5011,0.515,0.5011,0.5011
15,5,46,0.5011,0.5011,0.5002,0.5011
16,5,49,0.5011,0.5013,0.5011,0.5233
17,5,52,0.5036,0.5104,0.5011,0.4943
18,5,55,0.5119,0.5011,0.4957,0.5074
19,5,58,0.4891,0.5011,0.5031,0.5011
20,5,61,0.5011,0.5011,0.5011,0.5011
21,5,64,0.5011,0.5011,0.4883,0.5011
22,5,67,0.5011,0.5011,0.5011,0.5011
23,5,70,0.5011,0.5028,0.5011,0.5011
24,5,73,0.5011,0.5011,0.5011,0.5011
25,5,76,0.5011,0.5043,0.4877,0.5011
26,5,79,0.5011,0.5011,0.4919,0.5011
27,5,82,0.5011,0.5011,0.5011,0.5011
28,5,85,0.5011,0.5011,0.5011,0.5011
29,5,88,0.5011,0.5011,0.5011,0.5011
30,5,91,0.5011,0.5156,0.5011,0.5011
31,5,94,0.4023,0.5061,0.5011,0.5011
32,5,97,0.5011,0.5011,0.5011,0.5011
33,5,100,0.5011,0.5011,0.5011,0.5157
34,5,103,0.5011,0.5011,0.5011,0.5011
35,5,106,0.5011,0.5011,0.5011,0.5011
36,5,109,0.5011,0.5093,0.5011,0.5011
37,5,112,0.5011,0.5011,0.5011,0.5011
38,5,115,0.5011,0.5011,0.484,0.5011
39,5,118,0.5011,0.5011,0.5011,0.5011
40,5,121,0.5011,0.5184,0.4746,0.5011
41,5,124,0.5011,0.5011,0.5011,0.5011
42,5,127,0.5011,0.5011,0.5011,0.5011
43,5,130,0.5011,0.5011,0.5011,0.5011
44,5,133,0.5011,0.5011,0.5011,0.5011
45,5,136,0.5011,0.5011,0.5011,0.5011
46,5,139,0.5011,0.5011,0.4877,0.4884
47,5,142,0.3988,0.5011,0.5011,0.5011
48,5,145,0.5011,0.5011,0.5011,0.5011
49,5,148,0.5011,0.5011,0.3988,0.5011
50,5,151,0.5011,0.4023,0.5011,0.5011
51,5,154,0.5011,0.5011,0.5011,0.5011
52,5,157,0.5011,0.5011,0.5011,0.5011
53,5,160,0.5011,0.4988,0.5011,0.5011
54,5,163,0.4023,0.3988,0.5011,0.4023
55,5,166,0.3988,0.5011,0.5011,0.4023
56,5,169,0.5011,0.5011,0.5011,0.5011
57,5,172,0.5011,0.3988,0.5011,0.5011
58,5,175,0.5011,0.3965,0.5011,0.4023
59,5,178,0.5011,0.4023,0.5011,0.5011
60,5,181,0.5011,0.4023,0.5011,0.3988
61,5,184,0.5011,0.5011,0.5011,0.3
62,5,187,0.5011,0.4023,0.5011,0.5011
63,5,190,0.5011,0.5011,0.5011,0.5011
64,5,193,0.5011,0.4023,0.5011,0.5011
65,5,196,0.5011,0.5011,0.5011,0.5011
66,5,199,0.5011,0.5011,0.5011,0.4863
67,5,202,0.4023,0.2965,0.4023,0.5011
68,5,205,0.5011,0.5011,0.5011,0.5011
69,5,208,0.5011,0.5011,0.4023,0.5011
70,5,211,0.4023,0.5011,0.5011,0.4023
71,5,214,0.5011,0.5011,0.4023,0.3
72,5,217,0.3988,0.4023,0.5011,0.5011
73,5,220,0.5011,0.3988,0.5011,0.5011
74,5,223,0.5011,0.3988,0.5011,0.5011
75,5,226,0.3035,0.3,0.3,0.2046
76,5,229,0.5011,0.5011,0.5011,0.3988
77,5,232,0.5011,0.3035,0.5011,0.3988
78,5,235,0.2046,0.09882,0.5011,0.4023
79,5,238,0.5011,0.3988,0.3988,0.5011
80,5,241,0.5011,0.3988,0.3,0.5011
81,5,244,0.4023,0.5011,0.3,0.5011
82,5,247,0.3,0.5011,0.3,0.3988
83,5,250,0.5011,0.3988,0.5011,0.3035
84,5,253,0.5011,0.3035,0.3,0.5011
85,5,256,0.3,0.3988,0.3,0.4023
86,5,259,0.3988,0.4023,0.5011,0.4023
87,5,262,0.3,0.5011,0.4023,0.3
88,5,265,0.5011,0.5011,0.4023,0.4023
89,5,268,0.3988,0.5011,0.5011,0.3
90,5,271,0.5011,0.5011,0.4023,0.4023
91,5,274,0.3035,0.5011,0.4023,0.1976
92,5,277,0.5011,0.2011,0.5011,0.4023
93,5,280,0.2011,0.4023,0.4023,0.3988
94,5,283,0.5011,0.5011,0.4023,0.4023
95,5,286,0.5011,0.3,0.3988,0.4023
96,5,289,0.3,0.3988,0.5011,0.3
97,5,292,0.4023,0.1023,0.1023,0.5011
98,5,295,0.3988,0.3988,0.4023,0.5011
99,5,298,0.2011,0.4023,0.2011,0.3988
,Dataset#,L,att_1,att_2,att_3,att_4
0,6,1,0.4157,0.3628,0.4176,0.363
1,6,4,0.3674,0.3936,0.3949,0.4366
2,6,7,0.3691,0.2126,0.4245,0.3119
3,6,10,0.3478,0.2876,0.3173,0.361
4,6,13,0.3293,0.3067,0.3433,0.3185
5,6,16,0.3395,0.3332,0.2877,0.3447
6,6,19,0.3597,0.3335,0.3031,0.24
7,6,22,0.295,0.2932,0.3569,0.306
8,6,25,0.3243,0.2481,0.3651,0.2895
9,6,28,0.307,0.3618,0.3541,0.2808
10,6,31,0.3639,0.3161,0.2813,0.3134
11,6,34,0.2383,0.2424,0.3292,0.3518
12,6,37,0.2706,0.3239,0.2424,0.2547
13,6,40,0.301,0.375,0.3265,0.2702
14,6,43,0.3071,0.3241,0.2477,0.2856
15,6,46,0.1692,0.3008,0.357,0.2743
16,6,49,0.2135,0.2391,0.3105,0.291
17,6,52,0.2948,0.2005,0.294,0.2383
18,6,55,0.2275,0.3755,0.2698,0.2789
19,6,58,0.2329,0.1896,0.2671,0.2726
20,6,61,0.276,0.2812,0.1957,0.3268
21,6,64,0.2173,0.2682,0.2476,0.2877
22,6,67,0.297,0.2275,0.2705,0.2637
23,6,70,0.194,0.1548,0.1795,0.217
24,6,73,0.1351,0.2758,0.1837,0.3101
25,6,76,0.275,0.2649,0.1761,0.2226
26,6,79,0.2564,0.1795,0.3507,0.2182
27,6,82,0.2275,0.2275,0.2777,0.2325
28,6,85,0.2295,0.247,0.2798,0.2371
29,6,88,0.2704,0.2275,0.2622,0.3256
30,6,91,0.2467,0.21,0.1795,0.1483
31,6,94,0.2482,0.2536,0.2082,0.1942
32,6,97,0.2818,0.2131,0.2279,0.2961
33,6,100,0.2888,0.219,0.1357,0.2295
34,6,103,0.2311,0.1781,0.2372,0.2275
